district,cwd_yr_clim_mm,smd_jja_clim_mm
BR6 9,341.44,132.74
BR7 5,339.41,133.9
BR7 6,346.46,135.08
BR8 7,375.28,138.55
BR8 8,374.49,137.75
BR8 9,368.8,137.47
BS1 1,266.95,123.86
BS1 2,237.2,115.41
BS1 3,237.18,115.41
BS1 4,266.95,123.86
BS1 5,266.95,123.86
BS1 6,266.53,123.37
BS1 9,256.78,121.36
BS10 5,237.82,117.48
BS10 6,237.2,117.89
BS10 7,240.59,118.75
BS11 0,237.1,116.87
BS11 1,285.67,129.74
BS11 8,239.13,117.12
BS11 9,268.11,125.68
BS13 0,229.08,111.72
BS13 7,242.04,116.22
BS13 8,227.36,111.2
BS13 9,224.76,110.42
BS14 0,227.36,111.22
BS14 8,251.79,118.44
BS14 9,250.98,118.41
BS15 0,232.84,113.37
BS15 1,233.49,113.64
BS15 3,270.06,122.83
BS15 4,251.94,119.93
BS15 8,232.85,113.38
BS15 9,255.15,120.97
BS16 0,248.04,118.41
BS16 1,251.94,120.5
BS16 2,255.42,120.88
BS16 3,248.05,118.41
BS16 4,240.26,115.94
BS16 5,245.23,117.86
BS16 6,263.14,122.32
BS16 7,259.59,121.41
BS16 9,242.23,116.81
BS2 0,272.67,124.13
BS2 2,264.98,122.82
BS2 8,237.18,115.41
BS2 9,268.18,124.17
BS20 0,244.91,118.75
BS20 1,194.37,103.39
BS20 6,194.2,102.92
BS20 7,222.68,112.72
BS20 8,182.52,97.45
BS21 5,228.55,112.9
BS21 6,237.14,115.45
BS21 7,212.78,108.75
BS21 9,207.38,106.0
BS22 6,238.67,113.86
BS22 7,244.1,116.63
